AÑO,MONEDA,GIRO,NUMERO DE NIVELES,ENTIDAD,TIPO DE BIEN,COBERTURA,CAUSA DEL SINIESTRO,NUMERO DE SINIESTROS,MONTO DE SINIESTRO,GASTO DE AJUSTE,SALVAMENTO,MONTO PAGADO,MONTO DE DEDUCIBLE,MONTO COASEGURO
2015,Extranjera,Comercio al por mayor de materias primas para la industria,1,Baja California,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,53684.0,0.0,0.0,68305.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de materias primas para la industria,1,Baja California,Edificio,"Incendio, rayo y explosion",Agua No Atmosferica,1.0,631347.0,43138.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos farmaceuticos,2,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Incendio Provocado,2.0,-5797.0,-2080.0,0.0,10576.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos farmaceuticos,2,Distrito Federal,Edificio,"Incendio, rayo y explosion",Roturas De Tuberias O Sistemas De Agua,1.0,4406.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos farmaceuticos,2,Nuevo Leon,Contenidos,"Incendio, rayo y explosion",Incendio Por Lluvia,1.0,0.0,1573.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos farmaceuticos,3,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Incendio Provocado,1.0,0.0,-495.0,0.0,180392.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos farmaceuticos,3,Baja California,Edificio,"Incendio, rayo y explosion",Agua No Atmosferica,1.0,-27529.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos farmaceuticos,3,Baja California,Perdidas Consecuenciales,Remocion de Escombros,Agua No Atmosferica,1.0,-1023.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos textiles y calzado,2,Nuevo Leon,Contenidos,Todo Riesgo,Agua No Atmosferica,1.0,0.0,3134.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de productos textiles y calzado,4,Estado de Mexico,Contenidos,Todo Riesgo,Rayo,1.0,-478069.0,30272.0,0.0,1459296.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Coahuila,Contenidos,"Incendio, rayo y explosion",Escape De Materias Inflamables O Explosivas,1.0,836110.0,13796.0,0.0,6393.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Queretaro,Contenidos,"Incendio, rayo y explosion",Explosion,1.0,45135.0,0.0,0.0,45412.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Nuevo Leon,Edificio,"Incendio, rayo y explosion",Agua No Atmosferica,2.0,9964.0,4188.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Coahuila,Edificio,"Incendio, rayo y explosion",Escape De Materias Inflamables O Explosivas,1.0,-2686950.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Nuevo Leon,Edificio,"Naves Aereas, Vehiculos y Humo",Agua No Atmosferica,1.0,0.0,2467.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Coahuila,Existencias / Bienes Bajo Conv,"Incendio, rayo y explosion",Escape De Materias Inflamables O Explosivas,1.0,-1192320.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Coahuila,Contenidos,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,2171888.0,35836.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Sinaloa,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,150.0,1504.0,0.0,301.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Coahuila,Edificio,"Incendio, rayo y explosion",Incendio Provocado,1.0,1753.0,29.0,0.0,1753.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Coahuila,Edificio,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,1737510.0,28669.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de alimentos,1,Coahuila,Perdidas Consecuenciales,Remocion de Escombros,Corto Circuito / Electricidad,1.0,347502.0,5734.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de articulos de ferreteria, tlapaleria y vi",2,Baja California,Contenidos,Todo Riesgo,Rayo,1.0,9954.0,0.0,0.0,25165.0,11713.0,0.0
2015,Extranjera,"Comercio al por menor de articulos de ferreteria, tlapaleria y vi",2,Baja California,Edificio,Todo Riesgo,Falta De Mantenimiento,1.0,-2575.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de articulos de papeleria, libros y perio",1,Chihuahua,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,0.0,1531.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de automoviles y camionetas,1,Tamaulipas,Perdidas Consecuenciales,Otra cobertura,Falta De Mantenimiento,1.0,-31560.0,3624.0,0.0,160100.0,16010.0,0.0
2015,Extranjera,Comercio al por menor de automoviles y camionetas,1,Baja California,Edificio,"Incendio, rayo y explosion",Incendio Por Lluvia,1.0,5977.0,1573.0,0.0,6018.0,0.0,0.0
2015,Extranjera,Comercio al por menor de automoviles y camionetas,2,Coahuila,Edificio,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,0.0,1573.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de combustibles, aceites y grasas lubrica",1,Baja California,Edificio,"Incendio, rayo y explosion",Agua No Atmosferica,1.0,59622.0,0.0,0.0,59522.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de combustibles, aceites y grasas lubrica",1,Estado de Mexico,Edificio,Extension de cubierta (sin inundacion),Impacto De Vehiculos,1.0,-20607.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de combustibles, aceites y grasas lubrica",1,Jalisco,Contenidos y Edificio,Extension de cubierta (sin inundacion),Caida De Avion U Objetos Caidos de Ellos,1.0,0.0,1200.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de combustibles, aceites y grasas lubrica",2,Chiapas,Contenidos,Huelgas o Alborotos Populares,"Huelgas, Alborotos Populares",1.0,231912.0,3525.0,0.0,271543.0,15140.0,0.0
2015,Extranjera,"Comercio al por menor de combustibles, aceites y grasas lubrica",2,Queretaro,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-4498.0,1614.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de combustibles, aceites y grasas lubrica",2,Veracruz,Edificio,"Incendio, rayo y explosion",Impacto De Vehiculos,2.0,-30431.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de computadoras, telefonos y otros aparatos",1,Estado de Mexico,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-113474.0,16553.0,0.0,346902.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de computadoras, telefonos y otros aparatos",1,Nuevo Leon,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,299755.0,3472.0,0.0,364748.0,58673.0,0.0
2015,Extranjera,"Comercio al por menor de computadoras, telefonos y otros aparatos",1,Chihuahua,Contenidos,"Incendio, rayo y explosion",Roturas De Tuberias O Sistemas De Agua,1.0,-18734.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de computadoras, telefonos y otros aparatos",1,Estado de Mexico,Contenidos y Edificio,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,-2005333.0,1404030.0,0.0,48790720.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de mascotas, regalos, articulos religiosos",7,Distrito Federal,Edificio,"Incendio, rayo y explosion",Incendio Provocado,1.0,0.0,1753.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de muebles para el hogar y otros enseres,1,Chihuahua,Contenidos,"Incendio, rayo y explosion",Agua No Atmosferica,1.0,63476.0,0.0,0.0,62701.0,12587.0,0.0
2015,Extranjera,Comercio al por menor de muebles para el hogar y otros enseres,1,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,82390.0,3505.0,158.0,20000.0,3918.0,0.0
2015,Extranjera,Comercio al por menor de muebles para el hogar y otros enseres,1,Chihuahua,Edificio,"Incendio, rayo y explosion",Agua No Atmosferica,1.0,5876.0,5149.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de muebles para el hogar y otros enseres,4,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-221.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",1,Queretaro,Edificio,Gastos Extraordinarios,Impacto De Vehiculos,1.0,0.0,1956.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",1,Queretaro,Perdidas Consecuenciales,Remocion de Escombros,Corto Circuito / Electricidad,1.0,6440.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",1,Baja California,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-1499.0,1495.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",1,Nuevo Leon,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-19687.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",1,Queretaro,Edificio,"Incendio, rayo y explosion",Roturas De Tuberias O Sistemas De Agua,1.0,0.0,1573.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",1,Baja California,Edificio,Todo Riesgo,Falta De Mantenimiento,1.0,-23528.0,1403.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",1,Baja California,Perdidas Consecuenciales,"Perdida de Utilidades, Gastos Fijos y Salarios",Escape De Materias Inflamables O Explosivas,2.0,8712568.0,143757.0,0.0,15478.0,16107.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",2,Chihuahua,Edificio,"Incendio, rayo y explosion",Impacto De Vehiculos,1.0,-5818.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",2,Durango,Edificio,"Incendio, rayo y explosion",Rayo,1.0,0.0,1521.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de partes y refacciones para automoviles,",4,Nuevo Leon,Edificio,"Incendio, rayo y explosion",Agua No Atmosferica,1.0,0.0,1739.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de productos textiles, excepto ropa",6,Jalisco,Edificio,"Incendio, rayo y explosion",Caida De Arboles,1.0,-15.0,2712.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por menor de productos textiles, excepto ropa",8,Sinaloa,Edificio,"Incendio, rayo y explosion",Caida De Arboles,1.0,58083.0,2436.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de ropa y accesorios de vestir,1,Baja California,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,0.0,7058.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de ropa y accesorios de vestir,2,Quintana Roo,Contenidos,Derrame de Protecciones contra Incendio,Agua No Atmosferica,1.0,-651.0,1501.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor de ropa y accesorios de vestir,3,Baja California,Contenidos,"Incendio, rayo y explosion",Descargas Accidentales De Agua O Vapor,1.0,1073558.0,0.0,0.0,1072332.0,0.0,0.0
2015,Extranjera,Comercio al por menor de ropa y accesorios de vestir,3,Baja California,Edificio,"Incendio, rayo y explosion",Descargas Accidentales De Agua O Vapor,1.0,0.0,13068.0,87950.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas de autoservicio,1,Quintana Roo,Contenidos,"Incendio, rayo y explosion",Incendio Por Lluvia,1.0,-259508.0,21208.0,0.0,330148.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas de autoservicio,1,Chihuahua,Edificio,Extension de cubierta (sin inundacion),Impacto De Vehiculos,1.0,24878.0,0.0,0.0,0.0,0.0,0.0
